date,trade_balance
2000-01-01,-33360.0
2000-02-01,-36214.0
2000-03-01,-37326.0
2000-04-01,-35671.0
2000-05-01,-35883.0
2000-06-01,-37265.0
2000-07-01,-37527.0
2000-08-01,-36037.0
2000-09-01,-39188.0
2000-10-01,-39522.0
2000-11-01,-38855.0
2000-12-01,-39933.0
2001-01-01,-40753.0
2001-02-01,-35305.0
2001-03-01,-38540.0
2001-04-01,-36105.0
2001-05-01,-32630.0
2001-06-01,-34830.0
2001-07-01,-35176.0
2001-08-01,-33391.0
2001-09-01,-35338.0
2001-10-01,-35084.0
2001-11-01,-33997.0
2001-12-01,-31221.0
2002-01-01,-33806.0
2002-02-01,-36219.0
2002-03-01,-36101.0
2002-04-01,-38648.0
2002-05-01,-39212.0
2002-06-01,-39676.0
2002-07-01,-38692.0
2002-08-01,-41136.0
2002-09-01,-41176.0
2002-10-01,-39488.0
2002-11-01,-43800.0
2002-12-01,-47290.0
2003-01-01,-44682.0
2003-02-01,-43453.0
2003-03-01,-47085.0
2003-04-01,-45665.0
2003-05-01,-45108.0
2003-06-01,-43896.0
2003-07-01,-44942.0
2003-08-01,-43611.0
2003-09-01,-45611.0
2003-10-01,-45370.0
2003-11-01,-44024.0
2003-12-01,-48196.0
2004-01-01,-48867.0
2004-02-01,-49027.0
2004-03-01,-51543.0
2004-04-01,-52183.0
2004-05-01,-52560.0
2004-06-01,-58940.0
2004-07-01,-56104.0
2004-08-01,-56935.0
2004-09-01,-55895.0
2004-10-01,-59561.0
2004-11-01,-63496.0
2004-12-01,-59655.0
2005-01-01,-61181.0
2005-02-01,-63446.0
2005-03-01,-58949.0
2005-04-01,-62621.0
2005-05-01,-61685.0
2005-06-01,-63601.0
2005-07-01,-63343.0
2005-08-01,-63929.0
2005-09-01,-70530.0
2005-10-01,-73179.0
2005-11-01,-69822.0
2005-12-01,-70516.0
2006-01-01,-72871.0
2006-02-01,-67493.0
2006-03-01,-68017.0
2006-04-01,-68707.0
2006-05-01,-71283.0
2006-06-01,-69728.0
2006-07-01,-72687.0
2006-08-01,-74214.0
2006-09-01,-71279.0
2006-10-01,-65954.0
2006-11-01,-65796.0
2006-12-01,-69259.0
2007-01-01,-65776.0
2007-02-01,-66380.0
2007-03-01,-70644.0
2007-04-01,-68670.0
2007-05-01,-67895.0
2007-06-01,-68735.0
2007-07-01,-69198.0
2007-08-01,-67060.0
2007-09-01,-67714.0
2007-10-01,-68299.0
2007-11-01,-71741.0
2007-12-01,-69084.0
2008-01-01,-71650.0
2008-02-01,-74110.0
2008-03-01,-70917.0
2008-04-01,-74315.0
2008-05-01,-73868.0
2008-06-01,-72286.0
2008-07-01,-77628.0
2008-08-01,-71541.0
2008-09-01,-70455.0
2008-10-01,-70138.0
2008-11-01,-53601.0
2008-12-01,-51983.0
2009-01-01,-47164.0
2009-02-01,-37359.0
2009-03-01,-38976.0
2009-04-01,-39544.0
2009-05-01,-35595.0
2009-06-01,-36844.0
2009-07-01,-42838.0
2009-08-01,-41816.0
2009-09-01,-45296.0
2009-10-01,-45350.0
2009-11-01,-49072.0
2009-12-01,-49840.0
2010-01-01,-49076.0
2010-02-01,-52020.0
2010-03-01,-51549.0
2010-04-01,-52440.0
2010-05-01,-53595.0
2010-06-01,-59092.0
2010-07-01,-53416.0
2010-08-01,-58128.0
2010-09-01,-57297.0
2010-10-01,-53715.0
2010-11-01,-52385.0
2010-12-01,-55958.0
2011-01-01,-62609.0
2011-02-01,-59702.0
2011-03-01,-59755.0
2011-04-01,-57812.0
2011-05-01,-63078.0
2011-06-01,-65598.0
2011-07-01,-62067.0
2011-08-01,-61924.0
2011-09-01,-59834.0
2011-10-01,-60867.0
2011-11-01,-62687.0
2011-12-01,-65067.0
2012-01-01,-66735.0
2012-02-01,-60195.0
2012-03-01,-66971.0
2012-04-01,-64077.0
2012-05-01,-62589.0
2012-06-01,-60415.0
2012-07-01,-59723.0
2012-08-01,-61109.0
2012-09-01,-57416.0
2012-10-01,-60545.0
2012-11-01,-64668.0
2012-12-01,-56678.0
2013-01-01,-60764.0
2013-02-01,-61750.0
2013-03-01,-55614.0
2013-04-01,-58407.0
2013-05-01,-62194.0
2013-06-01,-55548.0
2013-07-01,-57948.0
2013-08-01,-58044.0
2013-09-01,-61635.0
2013-10-01,-57771.0
2013-11-01,-55237.0
2013-12-01,-55627.0
2014-01-01,-59821.0
2014-02-01,-61758.0
2014-03-01,-63738.0
2014-04-01,-66424.0
2014-05-01,-62522.0
2014-06-01,-61411.0
2014-07-01,-61785.0
2014-08-01,-59403.0
2014-09-01,-63888.0
2014-10-01,-62424.0
2014-11-01,-61479.0
2014-12-01,-65264.0
2015-01-01,-62102.0
2015-02-01,-57664.0
2015-03-01,-72184.0
2015-04-01,-62722.0
2015-05-01,-61462.0
2015-06-01,-65486.0
2015-07-01,-62741.0
2015-08-01,-66773.0
